User ID,Name,Email,Wallet Address,Transaction Hash,Amount (XLM),Feedback
USER_01,Aarav Sharma,aarav.sharma@gmail.com,GBASV4DFL3DXSYFUXOS4BIISQ75GAI6FPNTGYFKNNEVH2FBXGPD2QDIS,f2ebd02d3d8aedede0a1a0cbf1a72,88,"Smooth transaction experience, highly recommended."
USER_02,Vivaan Patel,vivaan.patel@gmail.com,GAW4JRUJRZMH5WVAAPEADCRPX6UKIJCTWXOZGHRHAJHIPKEXIZMKT3CC,f2e4cfc4ccac37bde0978d8cc0695,26,"Love the escrow-based milestone funding logic."
USER_03,Aditya Iyer,aditya.iyer@gmail.com,GBS7YTFHVQD3UAXRF2E3LU5UZDT24DCQEVMFX3KZJADGE4QPPPWJNOBC,f2e72eced08bccbde6d7059c0adb2,95,"Very clear onboarding, works perfectly on mobile."
USER_04,Vihaan Rao,vihaan.rao@gmail.com,GA4BD7L6M5KSIWJFT2EXRMBPSSE3DGQY57JXQZ5WAJ635QWX23BLOFJU,f2eb1a646024e18deb4e32fb16828,85,"Solid smart contract design, trustless and secure."
USER_05,Arjun Nair,arjun.nair@gmail.com,GBOEY2EY2EIINVMHZRUHRSVCLTL2IZV5E36CA53YMVTK7VAC7DCEBZXE,f2eae3597de9002de09cc12a4ce62,92,"Need clipboard option to copy contract addresses."
USER_06,Sai Kumar,sai.kumar@gmail.com,GAUD5LSXSWUWVFUPDPQZAUMPX3GVN65O7F2U3PNJHXYOKTAR4FD4SLDM,f2ece8faf48b49ade719559b806cb,46,"Empty state visual cues could be improved."
USER_07,Reyansh Gupta,reyansh.gupta@gmail.com,GBKBPL6GJ654OPPE5PEYKQJG3B6TPP3KN4636N664FXPEJSSUATAROZA,f2e40481fbda3f7def2f772bb6790,90,"Responsive layout works perfectly on my phone."
USER_08,Aaryan Joshi,aaryan.joshi@gmail.com,GAY6VHIF7QKWCHISOI7HZHINUPJ67PJ25E6XPSZ2IAI7FUJLDBO2KISM,f2ebbf6877b0f8cde61239a5ca614,92,"Very clean escrow interface, milestone logic is solid."
USER_09,Krishna Murthy,krishna.murthy@gmail.com,GBPOE5VG3LVEPUL4AQZEBZ7F43QDRM3F2AONSFCTH7GNDP6W6WEBD4K6,f2e4f892dd492fede3ba711619bc6,77,"Quick contribution shortcuts are very useful."
USER_10,Ishaan Reddy,ishaan.reddy@gmail.com,GCQZNKKPWDBWU5M5XMR32TUABN7BIACJSHJ2KRAHABLXFEWLONWDWRTU,f2eaefbc8306823def3e4bfa0efeb,59,"Excellent smart contract test suite coverage."
USER_11,Shaurya Saxena,shaurya.saxena@gmail.com,GBJDL7LHM2QHP3CZNV7MJXKRBEMUZ6TI25EJT2TJJKVESMSCH5HNOZTJ,f2e9ef3a0249b77debf70a2bdb320,55,"Beautiful rewards badge tier visualizations."
USER_12,Atharva Kulkarni,atharva.kulkarni@gmail.com,GCELVZYQXQVB4V5IETO2FBZHXTQGUULIVJX73GZZVBNIEI2DPQVHXEDM,f2e7e812b91ddc4defb490119ae42,17,"Progress bars are very responsive and clean."
USER_13,Devendra Singh,devendra.singh@gmail.com,GAL6TX3JZ4UBASLS5XMVHBUI2ZI5X7FI77E5P6P6TAEY2FQMNVZWPG7T,f2e35682b0207dfdedb9b7b43a3e5,40,"Confirmation times on Stellar are extremely fast."
USER_14,Kabir Mehra,kabir.mehra@gmail.com,GBXBVIWUKRUSLCYV4QJBTZ7NRLNMR35TAHB23JHKFOMJOG6Z267HB7TI,f2eb4d98d85a7b6de349eae5bac73,69,"Voting rules are clearly detailed in dashboard."
USER_15,Ansh Verma,ansh.verma@gmail.com,GDMB53YYYC472GHV66CSJA4FNFDMZN3QJXKVPETIJJC5CYW3QEZVJD4T,f2e9814f0fa2a09dea5e543d8dd7e,81,"Interface looks amazing and very clean."
USER_16,Rudransh Trivedi,rudransh.trivedi@gmail.com,GBTXKN6DBUXIG4KFXB5FOKLF3JJZZ7V2AJDNKNSZEV724LBGUGETNMTS,f2ed4758812a14fdeeae7d88ca408,53,"Smooth transaction experience, highly recommended."
USER_17,Karan Malhotra,karan.malhotra@gmail.com,GCBAH72CNB34VP6ARDT2WUWCXHJSV5MXDKZ7NTIXQ7RLFWO5SSURHJX6,f2e83f47c82f0d2de93d4507097aa,27,"Love the escrow-based milestone funding logic."
USER_18,Yash Wardhan,yash.wardhan@gmail.com,GAJDSCCMIJGMH674M7JQ53NYIF6PFR3C64PEFVGGEHTFL3ZPKWW4RG35,f2e664126fce7b3de1a3d89ef34f5,59,"Very clear onboarding, works perfectly on mobile."
USER_19,Alok Pandey,alok.pandey@gmail.com,GDSEJP5UYHAOOFZCR3T7SKU7AOOY3HSRWJQHK4RUGC6Y2VWE43RJNKLY,f2ec0ae48f04ca9defcd8293d8732,66,"Solid smart contract design, trustless and secure."
USER_20,Siddharth Sen,siddharth.sen@gmail.com,GB5UCQC3YEWFUUPKOEIFDLVVOOKAGWPKVDXBSBX56NQ6573UJRIA3YKA,f2e591aae2e654ade986fe0e70a7c,71,"Need clipboard option to copy contract addresses."
USER_21,Diya Roy,diya.roy@gmail.com,GCFZCOBOSI66Q2GMD36YFUMNRW27ZNHJTQ7JJN2N542K7SWQRC3SLY2G,f2e2d954ed9f9a5dedd4b01a978c0,83,"Empty state visual cues could be improved."
USER_22,Ananya Hegde,ananya.hegde@gmail.com,GBWZDFEE3DDVI2GLTV224IIIANAJQOZ6PHZ2ZDWH75NWSCSQRT5IKPKM,f2edf12a4c0700edeb70fd614f9a3,46,"Responsive layout works perfectly on my phone."
USER_23,Aanya Deshmukh,aanya.deshmukh@gmail.com,GBLLHIGFMZFZQ6RDS7U7NMWWEM6QNEDBQDUGRFIXU3OJ2BNLGH6LQLEY,f2eea8eed1a09bfdec4aee1fd4b8d,80,"Very clean escrow interface, milestone logic is solid."
USER_24,Pihu Bose,pihu.bose@gmail.com,GAA64JJMCU6YCNM6DZ5GIIFJLKGJIMAVJT25SQ4WOUS5C33MYBELWM43,f2e05190c9842cddeb09d7270252b,59,"Quick contribution shortcuts are very useful."
USER_25,Prisha Das,prisha.das@gmail.com,GCPRCEKWDSNWGCFH7BCPTPAUQKS2CXWSGH6PMVO6XV2T5NUGLIQDLF2G,f2e4d464838cdd4dee0ab6698a100,86,"Excellent smart contract test suite coverage."
USER_26,Saanvi Acharya,saanvi.acharya@gmail.com,GCXS462TIFN7YNFSGU4FATUDJCBU2XQLCGWCOW77T4YJTXSU44EJIBLL,f2effe70e483ac0de31dc15ead439,33,"Beautiful rewards badge tier visualizations."
USER_27,Aaradhya Menon,aaradhya.menon@gmail.com,GDYIVGJM5XZOF6IVEQUDLXQW5COOSV6BZBYRSB4ZC2XFB7STD3XGVDAH,f2e1fbf33e24f7ede93a358a6b1ca,85,"Progress bars are very responsive and clean."
